NCBITaxon:1003946	Cyprinocirrhites polyactis	http://aims.fao.org/aos/agrovoc/c_43964	Cyprinocirrhites polyactis	organisms	
NCBITaxon:1003957	Haploblepharus edwardsii	http://aims.fao.org/aos/agrovoc/c_38150	Haploblepharus edwardsii	organisms	
NCBITaxon:1003968	Nomeus gronovii	http://aims.fao.org/aos/agrovoc/c_44909	Nomeus gronovii	organisms	
NCBITaxon:1003976	Paracallionymus costatus	http://aims.fao.org/aos/agrovoc/c_45118	Paracallionymus costatus	organisms	
NCBITaxon:1003979	Paralichthodes algoensis	http://aims.fao.org/aos/agrovoc/c_45620	Paralichthodes algoensis	organisms	
NCBITaxon:1003985	Parascorpididae	http://aims.fao.org/aos/agrovoc/c_44051	Parascorpididae	organisms	
NCBITaxon:1003987	Parascorpis typus	http://aims.fao.org/aos/agrovoc/c_44052	Parascorpis typus	organisms	
NCBITaxon:1003990	Tripterodon orbis	http://aims.fao.org/aos/agrovoc/c_44706	Tripterodon orbis	organisms	
NCBITaxon:1003992	Tripterophycis gilchristi	http://aims.fao.org/aos/agrovoc/c_41456	Tripterophycis gilchristi	organisms	
NCBITaxon:10045	Gerbillinae	http://aims.fao.org/aos/agrovoc/c_15596	Gerbils	organisms	
NCBITaxon:100479	Aphis nerii	http://aims.fao.org/aos/agrovoc/c_30764	Aphis nerii	organisms	
NCBITaxon:10053	Microtus	http://aims.fao.org/aos/agrovoc/c_16325	Microtus	organisms	
NCBITaxon:100541	Ficus auriculata	http://aims.fao.org/aos/agrovoc/c_1324046818144	Ficus auriculata	organisms	
NCBITaxon:10059	Ondatra	http://aims.fao.org/aos/agrovoc/c_5008	Muskrats	organisms	
NCBITaxon:1005905	Solenocera membranacea	http://aims.fao.org/aos/agrovoc/c_46676	Solenocera membranacea	organisms	
NCBITaxon:10066	Muridae	http://aims.fao.org/aos/agrovoc/c_331512	Muridae	organisms	
NCBITaxon:1007	Saprospira	http://aims.fao.org/aos/agrovoc/c_6799	Saprospira	organisms	
NCBITaxon:1007041	Diodora listeri	http://aims.fao.org/aos/agrovoc/c_47564	Diodora listeri	organisms	
NCBITaxon:1007046	Fissurella nubecula	http://aims.fao.org/aos/agrovoc/c_47561	Fissurella nubecula	organisms	
NCBITaxon:1007102	Dasyatis margaritella	http://aims.fao.org/aos/agrovoc/c_38700	Dasyatis margaritella	organisms	
NCBITaxon:1007401	Aragua	http://aims.fao.org/aos/agrovoc/c_577	Aragua	entities	
NCBITaxon:100774	Pecten jacobaeus	http://aims.fao.org/aos/agrovoc/c_47993	Pecten jacobaeus	organisms	
NCBITaxon:100775	Aequipecten	http://aims.fao.org/aos/agrovoc/c_153	Aequipecten	organisms	
NCBITaxon:100776	Aequipecten opercularis	http://aims.fao.org/aos/agrovoc/c_47982	Aequipecten opercularis	organisms	
NCBITaxon:100815	Madurella	http://aims.fao.org/aos/agrovoc/c_31581	Madurella	organisms	
NCBITaxon:100829	Tetrao	http://aims.fao.org/aos/agrovoc/c_27084	Tetrao	organisms	
NCBITaxon:10084	Cricetomys	http://aims.fao.org/aos/agrovoc/c_27170	Cricetomys	organisms	
NCBITaxon:100860	Aphanomyces	http://aims.fao.org/aos/agrovoc/c_24603	Aphanomyces	organisms	
NCBITaxon:100861	Aphanomyces euteiches	http://aims.fao.org/aos/agrovoc/c_35462	Aphanomyces euteiches	organisms	
NCBITaxon:10088	Mus <mouse, genus>	http://aims.fao.org/aos/agrovoc/c_15662	Mus	organisms	
NCBITaxon:10088	Mus <mouse, genus>	http://aims.fao.org/aos/agrovoc/c_4795	Mice	organisms	
NCBITaxon:1008836	Blaniulus	http://aims.fao.org/aos/agrovoc/c_951	Blaniulus	organisms	
NCBITaxon:1008838	Blaniulus guttulatus	http://aims.fao.org/aos/agrovoc/c_33629	Blaniulus guttulatus	organisms	
NCBITaxon:100891	Oplophoridae	http://aims.fao.org/aos/agrovoc/c_46503	Oplophoridae	organisms	
NCBITaxon:100907	Dissostichus eleginoides	http://aims.fao.org/aos/agrovoc/c_44075	Dissostichus eleginoides	organisms	
NCBITaxon:100937	Papio papio	http://aims.fao.org/aos/agrovoc/c_331498	Papio	organisms	
NCBITaxon:10095	Mus sp.	http://aims.fao.org/aos/agrovoc/c_4795	Mice	organisms	
NCBITaxon:1009830	Glomerella <beetle>	http://aims.fao.org/aos/agrovoc/c_3281	Glomerella	organisms	
NCBITaxon:100986	Aschersonia	http://aims.fao.org/aos/agrovoc/c_26365	Aschersonia	organisms	
NCBITaxon:101007	Fragaria chiloensis	http://aims.fao.org/aos/agrovoc/c_3077	Fragaria chiloensis	organisms	
NCBITaxon:101015	Fragaria virginiana	http://aims.fao.org/aos/agrovoc/c_3080	Fragaria virginiana	organisms	
NCBITaxon:101019	Fragaria vesca subsp. americana	http://aims.fao.org/aos/agrovoc/c_3079	Fragaria vesca	organisms	
NCBITaxon:1010633	Digitaria exilis	http://aims.fao.org/aos/agrovoc/c_2280	Digitaria exilis	organisms	
NCBITaxon:1010713	Pomadasys branickii	http://aims.fao.org/aos/agrovoc/c_43033	Pomadasys branickii	organisms	
NCBITaxon:1010784	Boridia grossidens	http://aims.fao.org/aos/agrovoc/c_42987	Boridia grossidens	organisms	
NCBITaxon:1010786	Emmelichthyops atlanticus	http://aims.fao.org/aos/agrovoc/c_42873	Emmelichthyops atlanticus	organisms	
NCBITaxon:1010792	Isacia conceptionis	http://aims.fao.org/aos/agrovoc/c_43016	Isacia conceptionis	organisms	
NCBITaxon:101091	Choanephora cucurbitarum	http://aims.fao.org/aos/agrovoc/c_34511	Choanephora cucurbitarum	organisms	
NCBITaxon:101102	Circinella	http://aims.fao.org/aos/agrovoc/c_31810	Circinella	organisms	
NCBITaxon:10114	Rattus	http://aims.fao.org/aos/agrovoc/c_15663	Rattus	organisms	
NCBITaxon:10114	Rattus	http://aims.fao.org/aos/agrovoc/c_6464	Rats	organisms	
NCBITaxon:101141	Thamnidium	http://aims.fao.org/aos/agrovoc/c_31815	Thamnidium	organisms	
NCBITaxon:10116	Rattus norvegicus	http://aims.fao.org/aos/agrovoc/c_6464	Rats	organisms	
NCBITaxon:101162	Bipolaris oryzae	http://aims.fao.org/aos/agrovoc/c_34512	Cochliobolus miyabeanus	organisms	
NCBITaxon:10117	Rattus rattus	http://aims.fao.org/aos/agrovoc/c_15663	Rattus	organisms	
NCBITaxon:10118	Rattus sp.	http://aims.fao.org/aos/agrovoc/c_6464	Rats	organisms	
NCBITaxon:101187	Halobatrachus didactylus	http://aims.fao.org/aos/agrovoc/c_46026	Halobatrachus didactylus	organisms	
NCBITaxon:101204	Emerita analoga	http://aims.fao.org/aos/agrovoc/c_46998	Emerita analoga	organisms	
NCBITaxon:101206	Emerita rathbunae	http://aims.fao.org/aos/agrovoc/c_46997	Emerita rathbunae	organisms	
NCBITaxon:101273	Cactodera	http://aims.fao.org/aos/agrovoc/c_33315	Cactodera	organisms	
NCBITaxon:10128	Apodemus	http://aims.fao.org/aos/agrovoc/c_8877	Apodemus	organisms	
NCBITaxon:101302	Conus flavidus	http://aims.fao.org/aos/agrovoc/c_47826	Conus flavidus	organisms	
NCBITaxon:101304	Conus generalis	http://aims.fao.org/aos/agrovoc/c_47827	Conus generalis	organisms	
NCBITaxon:101306	Conus leopardus	http://aims.fao.org/aos/agrovoc/c_47828	Conus leopardus	organisms	
NCBITaxon:101313	Conus quercinus	http://aims.fao.org/aos/agrovoc/c_47822	Conus quercinus	organisms	
NCBITaxon:101314	Conus regius	http://aims.fao.org/aos/agrovoc/c_47835	Conus regius	organisms	
NCBITaxon:101317	Conus tessulatus	http://aims.fao.org/aos/agrovoc/c_47832	Conus tessulatus	organisms	
