BFO:0000003	occurrent	PATO:0000057	occurrence
CHEBI:35441	antiinfective agent	http://aims.fao.org/aos/agrovoc/c_509	antimicrobials
CHEBI:35480	analgesic	http://aims.fao.org/aos/agrovoc/c_383	analgesics
CHEBI:35701	ester	http://aims.fao.org/aos/agrovoc/c_2671	esters
CHEBI:36586	carbonyl compound	http://aims.fao.org/aos/agrovoc/c_28306	carbonyl compounds
CHEBI:36683	organochlorine compound	http://aims.fao.org/aos/agrovoc/c_5395	organochlorine compounds
CHEBI:36916	cation	http://aims.fao.org/aos/agrovoc/c_16169	cations
CHEBI:36976	nucleotide	http://aims.fao.org/aos/agrovoc/c_5259	nucleotides
CHEBI:37163	glucan	http://aims.fao.org/aos/agrovoc/c_3285	glucans
CHEBI:37527	acid	PATO:0001429	acidic
CHEBI:37527	acid	http://aims.fao.org/aos/agrovoc/c_92	acids
CHEBI:38867	anaesthetic	http://aims.fao.org/aos/agrovoc/c_381	anaesthetics
CHEBI:41609	carbonate	http://aims.fao.org/aos/agrovoc/c_1301	carbon
CHEBI:41609	carbonate	http://aims.fao.org/aos/agrovoc/c_1306	carbonates
CHEBI:41609	carbonate	http://aims.fao.org/aos/agrovoc/c_1307	carbonation
CHEBI:46662	mineral	http://aims.fao.org/aos/agrovoc/c_15999	mineralization
CHEBI:46662	mineral	http://aims.fao.org/aos/agrovoc/c_4857	minerals
CHEBI:46787	solvent	http://aims.fao.org/aos/agrovoc/c_7236	solvents
CHEBI:47867	indicator	http://aims.fao.org/aos/agrovoc/c_330058	indicators
CHEBI:48107	nitric acid	http://aims.fao.org/aos/agrovoc/c_5188	nitric acid
CHEBI:48219	disinfectant	http://aims.fao.org/aos/agrovoc/c_10397	disinfection
CHEBI:48219	disinfectant	http://aims.fao.org/aos/agrovoc/c_2331	disinfectants
CHEBI:50904	allergen	http://aims.fao.org/aos/agrovoc/c_273	allergens
CHEBI:50906	role	BFO:0000023	role
CHEBI:50910	neurotoxin	http://aims.fao.org/aos/agrovoc/c_24556	neurotoxins
CHEBI:52214	ligand	http://aims.fao.org/aos/agrovoc/c_27567	ligands
CHEBI:5686	heterocyclic compound	http://aims.fao.org/aos/agrovoc/c_3579	heterocyclic compounds
CHEBI:59999	chemical substance	http://aims.fao.org/aos/agrovoc/c_49872	chemical substances
CHEBI:63046	emulsifier	http://aims.fao.org/aos/agrovoc/c_2553	emulsifiers
CHEBI:63046	emulsifier	http://aims.fao.org/aos/agrovoc/c_2554	emulsifying
CHEBI:64047	food additive	http://aims.fao.org/aos/agrovoc/c_3011	food additives
CHEBI:64709	organic acid	http://aims.fao.org/aos/agrovoc/c_5383	organic acids
CHEBI:64909	poison	http://aims.fao.org/aos/agrovoc/c_6051	poisoning
CHEBI:78433	refrigerant	ENVO:01000583	refrigerator
CHEBI:78433	refrigerant	http://aims.fao.org/aos/agrovoc/c_28326	refrigerants
CHEBI:78433	refrigerant	http://aims.fao.org/aos/agrovoc/c_36496	refrigerators
CHEBI:78433	refrigerant	http://aims.fao.org/aos/agrovoc/c_6485	refrigeration
CHEBI:8108	pheophytin	http://aims.fao.org/aos/agrovoc/c_28495	phaeophytins
CHEBI:86471	pyrite	http://aims.fao.org/aos/agrovoc/c_15922	pyrites
CHEBI:9171	skatole	http://aims.fao.org/aos/agrovoc/c_34107	skatole
ENVO:00000003	mine tailing	http://aims.fao.org/aos/agrovoc/c_7591	tail
ENVO:00000004	administrative region	http://aims.fao.org/aos/agrovoc/c_130	administration
ENVO:00000009	national geopolitical entity	http://aims.fao.org/aos/agrovoc/c_330998	state
ENVO:00000011	garden	http://aims.fao.org/aos/agrovoc/c_2808	farmland
ENVO:00000014	canal	UBERON:0015212	lateral structure
ENVO:00000015	ocean	http://aims.fao.org/aos/agrovoc/c_12890	Oceans
ENVO:00000016	sea	http://aims.fao.org/aos/agrovoc/c_14148	Seas
ENVO:00000020	lake	http://aims.fao.org/aos/agrovoc/c_4160	lakes
ENVO:00000023	stream	http://aims.fao.org/aos/agrovoc/c_6617	rivers
ENVO:00000025	reservoir	http://aims.fao.org/aos/agrovoc/c_8324	water reservoirs
ENVO:00000026	well	http://aims.fao.org/aos/agrovoc/c_8354	wells
ENVO:00000027	spring	http://aims.fao.org/aos/agrovoc/c_7336	spring
ENVO:00000029	watercourse	UBERON:0001555	digestive tract
ENVO:00000029	watercourse	UBERON:0004907	lower digestive tract
ENVO:00000031	wadi	http://aims.fao.org/aos/agrovoc/c_24124	wadi
ENVO:00000032	bay	http://aims.fao.org/aos/agrovoc/c_779	Bahia
